MEL,"{-37.673333, 144.843333}"
SIN,"{1.350189, 103.994433}"
HBA,"{-42.836111, 147.510278}"
AVV,"{-38.039444, 144.469444}"
BNE,"{-27.384167, 153.1175}"
BKK,"{13.681108, 100.747283}"
CPH,"{55.617917, 12.655972}"
MAN,"{53.353744, -2.27495}"
PER,"{-31.940278, 115.966944}"
CNS,"{-16.885833, 145.755278}"
SYD,"{-33.946111, 151.177222}"
ADL,"{-34.945, 138.530556}"
DUD,"{-45.928055, 170.198333}"
DXB,"{25.252778, 55.364444}"
FRA,"{50.026421, 8.543125}"
AUH,"{24.432972, 54.651138}"
CBR,"{-35.306944, 149.195}"
CDG,"{49.012779, 2.55}"
KUL,"{2.745578, 101.709917}"
ORY,"{48.725278, 2.359444}"
BIA,"{42.552664, 9.483731}"
LGW,"{51.148056, -0.190278}"
DBV,"{42.561353, 18.268244}"
SPU,"{43.538944, 16.297964}"
PRG,"{50.100833, 14.26}"
HEL,"{60.317222, 24.963333}"
TOS,"{69.683333, 18.918919}"
OSL,"{60.193917, 11.100361}"
LIN,"{45.449444, 9.278333}"
KEF,"{63.985, -22.605556}"
JFK,"{40.639751, -73.778925}"
WLG,"{-41.327221, 174.805278}"
NRT,"{35.764722, 140.386389}"
AYQ,"{-25.186111, 130.975556}"
ZQN,"{-45.021111, 168.739167}"
DPS,"{-8.748169, 115.167172}"
ICN,"{37.469075, 126.450517}"
LHR,"{51.4775, -0.461389}"
SCL,"{-33.392975, -70.785803}"
PUQ,"{-53.002642, -70.854586}"
WPU,"{-54.931072, -67.626261}"
BOD,"{44.828335, -0.715556}"
AMS,"{52.308613, 4.763889}"
CMB,"{7.180756, 79.884117}"
MLE,"{4.191833, 73.529128}"
VAM,"{3.470865, 72.835774}"
DFW,"{32.896828, -97.037997}"
FLL,"{26.072583, -80.15275}"
HAV,"{22.989153, -82.409086}"
DCA,"{38.852083, -77.037722}"
SFO,"{37.618972, -122.374889}"
BCN,"{41.297078, 2.078464}"
CHC,"{-43.489358, 172.532225}"
YCBG,"{-42.826667, 147.474722}"
YBHB,"{-43.421389, 146.161944}"
LAX,"{33.942536, -118.408075}"
ORD,"{41.978603, -87.904842}"
MSP,"{44.881956, -93.221767}"
MSY,"{29.993389, -90.258028}"
DRW,"{-12.414722, 130.876667}"
LST,"{-41.545278, 147.214167}"